"ASESINO SIN ROSTRO","MANKELL, HENNING",""
"LOS PERROS DE RIGA","MANKELL, HENNING",""
"EL HOMBRE SONRIENTE","MANKELL, HENNING",""
"EL HOMBRE INQUIETO","MANKELL, HENNING",""
"PISANDO LOS TALONES","MANKELL, HENNING",""
"EL CHINO","MANKELL, HENNING",""
"EL RETORNO DEL PROFESOR DE BAILE","MANKELL, HENNING",""
"LA PIRÁMIDE","MANKELL, HENNING",""
"PROFUNDIDADES","MANKELL, HENNING",""
"LA FALSA PISTA","MANKELL, HENNING",""
"LA LEONA BLANCA","MANKELL, HENNING",""
"CORTAFUEGO","MANKELL, HENNING",""
"MAS ME DUELE A MÍ","STRAUSS, DORIN",""
"EL SÍMBOLO OCULTO","BROWN, DAN",""
"¿DONDE TE ESCONDES?","HIGGINS CLARK, MARY",""
"EL DULCE VENENO DEL JAZZ","CARTER, CHARLOTTE",""
"EL ÚLTIMO CATÓN","ASENSI, MATILDE",""
"LOS PILARES DE LA TIERRA","FOLLET, KEN",""
"LA SANGRE DE LOS INOCENTES","NAVARRO, JULIA",""
"UN MUNDO SIN FIN","FOLLET, KEN",""
"LA CAIDA DE LOS GIGANTES","FOLLET, KEN",""
"EL HIPNOTISTA","KEPLER, LARS",""
"LA ISLA BAJO EL MAR","ALLENDE, ISABEL",""
"LA ISLA BAJO EL MAR","ALLENDE, ISABEL",""
"DIME QUIÉN SOY","NAVARRO, JULIA",""
"VENGANZA EN SEVILLA","ASENSI, MATILDE",""
"EL HIJO DEL VIENTO","HENNING, MANKELL",""
"ULTIMO RECURSO","CONNELLY, MICHAEL",""
"MAITE SAIZ","CONELLY, MICHAEL",""
"EL INOCENTE","CONNELLY, MICHAEL",""
"MÁS OSCURO QUE LA NOCHE","CONNELLY, MICHAEL",""
"EL INOCENTE","CONNELLY, MICHAEL",""
"CAUCES DE MALDAD","CONNELLY, MICHAEL",""
"LUZ PERDIDA","CONNELLY, MICHAEL",""
"EL CLAN DEL OSO CAVERNARIO","AUEL, JEAN M.",""
"LOS CAZADORES DE MAMUTS","AUEL, JEAN M.",""
"EL VALLE DE LOS CABALLOS","AUEL, JEAN M.",""
