LAS MÁXIMAS DE PTAHHOTEP,"JACQ, CHRISTIAN",XXX
PROTECTORES INVISIBLES,"LEADBEATER, C. N. ",XXX
MISTERIOS DE LA ANTIGÜEDAD,"CARTER, SPENCER",XXX
LOS NUEVOS GÓTICOS,VARIOS,XXX
LA ODISEA DE LOS DIOSES,"DÄNIKEN, ERICH VON",XXX
VIAJANDO EN EL TIEMPO,"RANDLES, JENNY",XXX
"GIORDANO BRUNO, EL HEREJE IMPENITENTE","WHITE, MICHAEL",XXX
PARA IR COMO UN RELOJ,"MEARIN, DR. FERMIN",XXX
LA COCINA DE CARLOS ARGUIÑANO,"ARGUIÑANO, CARLOS",XXX
LIBRO DE COCINA (2),"CHICO, FLORINDA",XXX
EL LEGADO DEL TEMPLE,"ROJAS, FELIX",XXX
LAS LEYES DEL CIELO,"BELMONTE, JUAN ANTONIO",XXX
LA ÚLTIMA VIRGEN NEGRA DEL TEMPLE,"ALARCÓN, RAFAEL",XXX
CANARIAS MISTERIOSA Y BRASIL INSÓLITO,"VILLARRUBIAS, PABLO",XXX
LA FUERZA DEL OPTIMISMO,"ROJAS MARCOS, DR.",XXX
LA FALTA,"IZQUIERDO, PAULA",XXX
LA JUGADA MAESTRA (11-S),"MEYSSAN, THIERRY",XXX
LA GRAN IMPOSTURA (11-S),"CARDEÑOSA, BRUNO",XXX
J.C. Y MARIA MAGDALENA,"ARIAS, JUAN",XXX
CÓDIGO B,"ZURDO, DAVID",XXX
UN MENSAJERO EN LA NOCHE,"BUERO NÁJERA, MARÍA",XXX
EL VIAJE A LA FELICIDAD,"PUNSET, EDUARD",XXX
EL NOMBRE DE LA ROSA,"ECO, UMBERTO",XXX
CABALLO DE TROYA (DESDE EL 8º EN ADELANTE),"BENITEZ, J.J.",XXX
EL SÍNDROME DE MARIPILI,"GARCÍA RIBAS, CARMEN",XXX
ADIÓS DEPRESIÓN,"ROJAS, ENRIQUE",XXX
"OCHATE, REALIDAD Y LEYENDA",ARROYO - CORRAL,XXX
EL DARDO EN LA PALABRA,"LÁZARO CARRETER, FERNANDO",XXX
ENTRE EL CIELO Y LA TIERRA,"VALLEJO NÁJERA, MARÍA",XXX
EL COCHERITO LERÉ,"SUMMERS, GUILLERMO",XXX
REFLEXIONES DE UN JUEZ DE MENORES,CALATAYUD,XXX
SI HABLA MAL DE ESPAÑA ES ESPAÑOL,"SANCHEZ DRAGÓ, FERNENDO",XXX
LA BODEGA,"GORDON, NOAH",XXX
